      Pres    T90(1)    T90(2)    Sal(1)   Cond(1)    Sal(2)   Cond(2)   OxCur        OXYG     Trans      Flur Altimeter      Time       wocecode
    2843.8   1.41470   1.41870  34.89191  31.37812  34.89259  31.38215  1.749700     6.419   -0.9862    0.0110     18.73   3068.46  2222222111111
    2843.7   1.41480   1.41870  34.89184  31.37812  34.89240  31.38197  1.749700     6.419   -0.9862    0.0110     18.85   3068.50  2222222111111
    2843.7   1.41460   1.41850  34.89162  31.37775  34.89250  31.38185  1.749700     6.419   -0.9862    0.0110     18.95   3068.54  2222222111111
    2843.6   1.41450   1.41850  34.89176  31.37774  34.89231  31.38167  1.749700     6.419   -0.9862    0.0111     18.97   3068.58  2222222111111
    2843.5   1.41410   1.41810  34.89205  31.37761  34.89261  31.38154  1.749700     6.419   -0.9862    0.0111     18.97   3068.62  2222222111111
    2843.5   1.41430   1.41820  34.89172  31.37749  34.89232  31.38137  1.749700     6.419   -0.9862    0.0111     18.97   3068.67  2222222111111
    2843.4   1.41430   1.41780  34.89183  31.37755  34.89263  31.38124  1.749700     6.419   -0.9862    0.0111     19.12   3068.71  2222222111111
    2843.3   1.41430   1.41790  34.89186  31.37755  34.89197  31.38077  1.749700     6.418   -0.9862    0.0111     19.24   3068.75  2222222111111
    2843.3   1.41410   1.41820  34.89156  31.37711  34.89154  31.38066  1.749700     6.418   -0.9862    0.0111     19.24   3068.79  2222222111111
    2843.2   1.41370   1.41870  34.89216  31.37722  34.89192  31.38138  1.749700     6.418   -0.9862    0.0111     19.24   3068.83  2222222111111
    2843.1   1.41360   1.41900  34.89207  31.37703  34.89223  31.38186  1.749700     6.418   -0.9862    0.0111     19.27   3068.88  2222222111111
    2843.1   1.41360   1.41900  34.89171  31.37672  34.89240  31.38197  1.749700     6.418   -0.9862    0.0112     19.41   3068.92  2222222111111
    2843.0   1.41400   1.41900  34.89171  31.37704  34.89229  31.38186  1.749700     6.418   -0.9594    0.0112     19.51   3068.96  2222222111111
    2842.9   1.41400   1.41890  34.89182  31.37711  34.89257  31.38197  1.749700     6.418   -0.9862    0.0112     19.54   3069.00  2222222111111
    2842.9   1.41400   1.41880  34.89193  31.37717  34.89219  31.38156  1.749700     6.418   -0.9862    0.0112     19.51   3069.04  2222222111111
    2842.8   1.41380   1.41850  34.89247  31.37741  34.89232  31.38137  1.749700     6.418   -0.9862    0.0112     19.56   3069.08  2222222111111
    2842.8   1.41450   1.41850  34.89208  31.37768  34.89257  31.38155  1.749700     6.418   -0.9862    0.0112     19.73   3069.12  2222222111111
    2842.7   1.41430   1.41820  34.89232  31.37767  34.89269  31.38136  1.749700     6.418   -0.9594    0.0113     19.80   3069.17  2222222111111
    2842.6   1.41430   1.41820  34.89219  31.37755  34.89257  31.38125  1.749700     6.418   -0.9862    0.0113     19.80   3069.21  2222222111111
    2842.6   1.41430   1.41840  34.89191  31.37730  34.89217  31.38107  1.749700     6.418   -0.9594    0.0113     19.80   3069.25  2222222111111
    2842.5   1.41450   1.41810  34.89188  31.37743  34.89273  31.38124  1.749700     6.418   -0.9862    0.0113     19.88   3069.29  2222222111111
    2842.4   1.41410   1.41790  34.89202  31.37717  34.89238  31.38077  1.749700     6.418   -0.9862    0.0113     20.05   3069.33  2222222111111
    2842.4   1.41400   1.41780  34.89192  31.37698  34.89237  31.38065  1.749700     6.418   -0.9862    0.0113     20.10   3069.38  2222222111111
    2842.3   1.41380   1.41750  34.89185  31.37672  34.89256  31.38052  1.749700     6.418   -0.9862    0.0113     20.10   3069.42  2222222111111
    2842.3   1.41400   1.41710  34.89167  31.37673  34.89316  31.38063  1.749700     6.418   -0.9862    0.0113     20.10   3069.46  2222222111111
    2842.2   1.41410   1.41710  34.89228  31.37729  34.89304  31.38051  1.749700     6.418   -0.9862    0.0113     20.22   3069.50  2222222111111
    2842.2   1.41430   1.41670  34.89210  31.37730  34.89260  31.37979  1.749700     6.417   -0.9862    0.0113     20.37   3069.54  2222222111111
    2842.1   1.41410   1.41630  34.89202  31.37704  34.89283  31.37960  1.749700     6.417   -0.9862    0.0113     20.42   3069.58  2222222111111
    2842.1   1.41350   1.41630  34.89244  31.37684  34.89271  31.37949  1.749700     6.418   -0.9862    0.0114     20.42   3069.62  2222222111111
